Z,A,E0,ThetaDeg,nu,cross,error,dataSet,sigtot,sigqe,sigie,sigmec,nuccstot,signonuc,ratio
26,56,0.1003,140.0,0.00189,19163.6313,6070.066355,Altemus:1973,283.91999999999996,0.0,0.0,0.0,283.91999999999996,0.0,67.49658812341507
26,56,0.1003,140.0,0.00448,20891.8778,6622.125976,Altemus:1973,15867.748,0.0,0.0,0.0,15867.748,0.0,1.3166252577240323
26,56,0.1003,140.0,0.00913,16033.1987,5082.431448,Altemus:1973,15844.555999999997,0.0,0.0,0.0,15844.555999999997,0.0,1.0119058369322564
26,56,0.1003,140.0,0.01463,20625.8479,6538.14926,Altemus:1973,6859.267999999999,0.0,0.0,0.0,6859.267999999999,0.0,3.0070042313552996
26,56,0.1003,140.0,0.01992,21780.9611,6905.188209,Altemus:1973,35681.56799999999,3324.4639999999995,0.0,362.0759999999999,31995.028,3686.54,0.6104261197265772
26,56,0.1003,140.0,0.02519,25016.2891,7930.8289,Altemus:1973,43245.592,16308.604000000001,0.0,1416.6879999999999,25520.3,17725.291999999998,0.5784702658250118
26,56,0.1003,140.0,0.03047,26882.9217,8523.995103,Altemus:1973,37688.45599999999,26378.352,0.0,2138.812,9171.24,28517.216,0.7132932614697722
26,56,0.1003,140.0,0.03576,28721.7507,9109.834553,Altemus:1973,37022.75199999999,31661.499999999996,0.0,2443.0640000000003,2918.1879999999996,34104.564,0.7757864866447531
26,56,0.1003,140.0,0.04105,28773.5665,9132.3838,Altemus:1973,36631.295999999995,32489.496,0.0,2448.1079999999997,1693.6920000000002,34937.60399999999,0.785491359628663
26,56,0.1009,160.0,0.0022,3244.84542,232.78,Altemus:1973,78.104,0.0,0.0,0.0,78.104,0.0,41.545188722728675
26,56,0.1009,160.0,0.00506,5863.9392,260.24,Altemus:1973,4684.732,0.0,0.0,0.0,4684.732,0.0,1.251712840777231
26,56,0.1009,160.0,0.01017,8821.99683,328.3,Altemus:1973,3394.715999999999,0.0,0.0,0.0,3394.715999999999,0.0,2.598743703449715
26,56,0.1009,160.0,0.01537,12919.4424,409.44,Altemus:1973,4573.295999999999,0.0,0.0,0.0,4573.295999999999,0.0,2.8249740231115594
26,56,0.1009,160.0,0.02061,15226.7436,468.41,Altemus:1973,29958.448,3427.372,0.0,466.17999999999995,26064.947999999997,3893.4999999999995,0.5082620968883301
26,56,0.1009,160.0,0.02623,19069.5375,552.69,Altemus:1973,30602.624,14592.604000000001,0.0,1652.3519999999999,14357.72,16244.955999999996,0.6231340652357131
26,56,0.1009,160.0,0.03136,21414.7521,617.14,Altemus:1973,26802.464,21216.051999999996,0.0,2253.992,3332.42,23470.043999999998,0.7989844553097806
26,56,0.1009,160.0,0.03656,22831.0884,680.96,Altemus:1973,28375.256,25152.764,0.0,2539.784,682.708,27692.548000000006,0.8046125962704971
26,56,0.1009,160.0,0.04159,23640.8103,744.33,Altemus:1973,28890.471999999998,25958.243999999995,0.0,2543.632,388.6479999999999,28501.824,0.8182908988125913
26,56,0.1305,140.0,0.00314,3223.773,223.4169485,Altemus:1973,210.44400000000002,0.0,0.0,0.0,210.44400000000002,0.0,15.31891144437475
26,56,0.1305,140.0,0.0062,933.7986,120.2633561,Altemus:1973,14673.464,0.0,0.0,0.0,14673.464,0.0,0.06363859276855145
26,56,0.1305,140.0,0.00886,8892.20556,548.890486,Altemus:1973,14796.184000000001,0.0,0.0,0.0,14796.184000000001,0.0,0.6009796552949057
26,56,0.1305,140.0,0.01239,10202.3208,616.9177345,Altemus:1973,10991.863999999998,0.0,0.0,0.0,10991.863999999998,0.0,0.9281702175354427
26,56,0.1305,140.0,0.02354,16790.6592,1013.976915,Altemus:1973,26091.519999999997,5842.616,0.0,1106.664,19142.24,6949.280000000001,0.6435293612637363
26,56,0.1305,140.0,0.02879,18682.4988,1127.744371,Altemus:1973,22302.176,13769.599999999997,0.0,2474.1079999999997,6058.467999999999,16243.708,0.8376984739067614
26,56,0.1305,140.0,0.03406,20513.7324,1238.043771,Altemus:1973,24114.532000000003,18668.676000000003,0.0,3273.5559999999996,2172.2999999999997,21942.232,0.8506792667591475
26,56,0.1305,140.0,0.04172,22899.744,1388.603829,Altemus:1973,28493.035999999996,23305.879999999997,0.0,3926.8839999999996,1260.324,27232.764,0.8036961733386362
26,56,0.1305,140.0,0.04463,24270.372,1471.414448,Altemus:1973,29042.155999999995,24110.007999999998,0.0,3999.6319999999996,932.4639999999998,28109.64,0.8356945675796247
26,56,0.1305,140.0,0.04992,24681.5604,1499.290111,Altemus:1973,28579.304000000004,24169.6,1.404,3905.564,502.73599999999993,28076.567999999996,0.8636165667295465
26,56,0.1305,140.0,0.0552,24499.7424,1492.968178,Altemus:1973,26464.412,22639.084,4.732,3575.8839999999996,244.76399999999995,26219.647999999997,0.9257618268639408
26,56,0.1305,140.0,0.06051,20736.576,1276.65778,Altemus:1973,23149.464,19960.615999999998,9.152,3088.904,90.79199999999999,23058.672,0.8957691633810615
26,56,0.1305,140.0,0.0658,18659.1888,1166.416408,Altemus:1973,19274.007999999998,16698.708,19.031999999999996,2532.7119999999995,23.607999999999997,19250.399999999998,0.9681011235442053
26,56,0.1305,140.0,0.07109,15203.7144,989.7392228,Altemus:1973,15323.671999999999,13313.82,28.443999999999996,1977.1960000000001,4.159999999999999,15319.46,0.9921717457799933
26,56,0.1503,90.0,0.00362,119440.0,1139.8,Altemus:1973,22886.811999999998,0.0,0.0,0.0,22886.811999999998,0.0,5.218725963231576
26,56,0.1503,90.0,0.00742,95248.0,1775.1,Altemus:1973,216586.91599999997,0.0,0.0,0.0,216586.91599999997,0.0,0.4397680236603028
26,56,0.1503,90.0,0.00961,88073.0,1193.1,Altemus:1973,98693.76399999998,0.0,0.0,0.0,98693.76399999998,0.0,0.892386676021395
